actor	28 Days	O'Malley, Mike	Oliver
actor	28 Days	Pervis, Adam	Younger Boy at Gas Station
actor	28 Days	Reitz, Ric	Father at Gas Station
actor	28 Days	Santoni, Reni	Daniel
actor	28 Days	Taylor, Frank Hoyt	Equine Therapist
actor	28 Days	Tudyk, Alan	Gerhardt
actor	28 Days	Wainwright III, Loudon	Guitar Guy
actor	28 Days	West, Dominic	Jasper
movie	42	2013
director	42	Helgeland, Brian
actress	42	Beharie, Nicole	Rachel Robinson
actress	42	Boothe, Cherise	Ed's Mother
actress	42	Foreman, Karole	Duff Harris
actress	42	Griffis, Rhoda	Miss Bishop
actress	42	Jakle, Kelley	Alice
actress	42	Metzger, Janet	Jane Ann
actress	42	Michaell, Monnae	Mallie
actress	42	Moy�, Denise	Older Woman
actress	42	Sandy, Zarha	Bowman's Cafe
actress	42	Tylor, Jud	Laraine Day
actor	42	Allen, Tucker	Baseball Player
actor	42	Beam, Chance	Baseball Player
actor	42	Beyer, Brad	Kirby Higbe
actor	42	Black, Lucas	Pee Wee Reese
actor	42	Blinder, Ari	Photographer
actor	42	Boseman, Chadwick	Jackie Robinson
actor	42	Brooks, Matthew	Baseball Player
actor	42	Brown, Dusan	Ed Charles
actor	42	Callaway, Scott	Andy Seminick
actor	42	Cannon, Chad	Baseball Player
actor	42	Capallo, Tom	Baseball Player
actor	42	Chancey, Nate	Baseball Player
actor	42	Clark, Matt	Luther
actor	42	Clowdus, Hunter	Dodger Bat Boy
actor	42	Cole, Michael H.	Another Reporter
actor	42	Coleman, Jimmie L.	Negro League Umpire
actor	42	Cook, Kenny	Fan One
actor	42	Covington, Maury	Policeman
actor	42	Criscuolo, Lou	Reporter One
actor	42	Cullen, Brett	Clay Hopper
actor	42	Cyprysiak, Kyle	Baseball Player
actor	42	Denney, Brett	Baseball Player
actor	42	Farb, Aaron	Phillie Two
actor	42	Fenlon, Daniel	Babe Hamburger
actor	42	Finn, Tobias Michael	Panamanian Kid
actor	42	Flaman, William	Cracker
actor	42	Ford, Harrison	Branch Rickey
actor	42	Fowler, Barry	Baseball Player
actor	42	Friedman, Henry	Freckles
actor	42	Gail, Max	Burt Shotton
actor	42	Ginther, Andrew	Baseball Player
actor	42	Goolsby, Anthony S.	Monarch Batter
actor	42	Gowan, Marc	Doctor
actor	42	Griffin, Dax	Racist City Island Fan
actor	42	Grimes Jr., Ercell A.	Shouting Fan
actor	42	Hand, Linc	Fritz Ostermueller
actor	42	Hansen, Holden	Freckle's Dad
actor	42	Harelik, Mark	Herb Pennock
actor	42	Harvey, Christopher	Bus Driver
actor	42	Hazen, Jeremy	Baseball Player
actor	42	Helgeland, Thomas	Everett McCooey
actor	42	Henegar, Chris	Baseball Player
actor	42	Hester, Austin	Baseball Player
actor	42	Hickey, Wayne	Umpire Two
actor	42	Hicks, Steve	Umpire One
actor	42	Hill, Matthew	Baseball Player
actor	42	Holland, Andr�	Wendell Smith
actor	42	Holliday, Jamey	Pete Reiser
actor	42	Houser, Dwight	City Island Umpire
actor	42	Howard, Daniel	Baseball Player
actor	42	Hubbard, Matthew	Baseball Player
actor	42	Hughes, Ross	Reporter Two
actor	42	Huss, Toby	Clyde Sukeforth
actor	42	Inscoe, Joe	Bob Cooke
actor	42	Johnson, Chad R	Baseball Player
actor	42	Jurasik, Peter	Hotel Manager
actor	42	Kersey, Brandon	Baseball Player
actor	42	Knezevich, Joe	Reporter Three
actor	42	Knight, Johnny	Carl Furillo
actor	42	Knight, T.R.	Harold Parrott
actor	42	Kohler, Jon	Spectator Two
actor	42	Large, Luke	Baseball Player
actor	42	Lauderdale, Brian	Baseball Player
actor	42	Law, Keith	Baseball Player
actor	42	Linklater, Hamish	Ralph Branca
actor	42	Loderhose, Ben	Baseball Player
actor	42	Luken, Jesse	Eddie Stanky
actor	42	Mackenzie, Peter	Happy Chandler
actor	42	McBee, Mitchell	Baseball Player
actor	42	McGinley, John C.	Red Barber
actor	42	Meloni, Christopher	Leo Durocher
actor	42	Mengini, Dan	Spectator One
actor	42	Merriman, Ryan	Dixie Walker
actor	42	Miller, Gary	Umpire Five
actor	42	Moore, Kirklan	Baseball Player
actor	42	Mullins, Andrew C.	Umpire Three
actor	42	Nellist, Marc	Baseball Player
actor	42	Nitkowski, C.J.	Dutch Leonard
actor	42	O'Brien, Clint	Hugh Casey
actor	42	Paul, Andrew	Baseball Player
actor	42	Pesi, Gino Anthony	Joe Garagiola
actor	42	Phillips, Derek	Bobby Bragan
actor	42	Pickens Jr., James	Mr. Brock
actor	42	Pinkston, Friedel	Birmingham Catcher
actor	42	Rackley, James	Phillie One
actor	42	Radcliff, Darren	Baseball Player
actor	42	Roberts, Andrew B.	Ball One Umpire
actor	42	Ruehling, Jamie	Spider Jorgensen
actor	42	Sanders, Blake	Gene Hermanski
actor	42	Sawyer, Danny	Baseball Player
actor	42	Sharrock, Jake	Baseball Player
actor	42	Smith, Jayson Warner	White Gas Station Attendant
actor	42	Spears, Dennis A.	Umpire Four
actor	42	Stewart, Jack	Baseball Player
actor	42	Suttle, Barry	Roosevelt Home Umpire
actor	42	Sweeney, David	Fan Two
actor	42	Tavernaro, Richard	Deland Umpire
actor	42	Taylor, Jeremy Ray	Boy
actor	42	Thoms, David	Enos Slaughter
actor	42	Tudyk, Alan	Ben Chapman
actor	42	Vinson, Danny	Eddie Dyer
actor	42	Walker, Jackson	Jimmy Powers
